Date,Site,Phylum,Class,Order,ScientificName,Comment1,Comment2,Dyntaxa ID,Density(n/l),Biovol.(µm³/l),Freshweight(mg/l),Analysis method,Analysis laboratory,Mesured length (µm)
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,4.3,2877541.3,0.00288,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160330,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Notholca,spp,,1009467,0.3,44534.2,0.00004,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,138
160407,Erken bojen 0-20,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,,1009426,0.3,59835853,0.05984,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,946
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,9.3,20532891.1,0.02053,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Copepoda,,naupliuslarv,3000207,1,1129700,0.00113,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp, ,3000209,0.7,67440223.9,0.06744,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1290
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,3,18717049.8,0.01872,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,1.3,1506266.6,0.00151,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160407,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus,spp, ,1011373,0.7,15264248.2,0.01526,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,946
160407,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,0.3,32358.4,0.00003,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160407,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,2.3,1055355,0.00106,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160407,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,85,26030027.1,0.02603,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160407,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,88.7,51080776,0.05108,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,135.3
160407,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,15,9960720,0.00996,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160411,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,26.7,58665403.1,0.0587,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160411,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,3.3,20796722,0.0208,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160411,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,6.7,7531333.1,0.0075,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160411,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,1.7,161792,0.0002,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160411,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,13.3,6030600,0.006,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160411,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,166.7,51039268.7,0.051,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160411,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,146.7,84494516.7,0.0845,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,135.3
160411,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,26.7,20687573.3,0.0207,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,116
160419,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,1.7,49955721.4,0.05,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160419,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,11.7,25666113.8,0.026,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160419,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,1.7,10398361,0.01,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160419,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,5,5648499.8,0.006,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160419,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,11.7,1132544.2,0.001,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160419,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,10,4522950,0.005,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160419,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,110,33685917.4,0.034,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160419,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,256.7,152345333.5,0.152,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,137.4
160419,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,53.3,45784888.9,0.046,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,114.7
160421,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,1.7,9598487.1,0.0096,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,516
160421,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,8.3,18332938.5,0.0183,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,344
160421,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,8.3,51991805.1,0.052,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160421,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,10,11296999.6,0.0113,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160421,Erken bojen 0-20,Rotifera,Monogononta,Flosculariacea,Conochilus,sp,,1013030,6.7,1153756.9,0.0012,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160421,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,23.3,10053645,0.0101,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,90.5
160421,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,80,24498849,0.0245,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160421,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,213.3,126624692.8,0.1266,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,137.4
160421,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Kellicottia longispina,,,233703,1.7,152199.7,0.0002,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,129
160421,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,60,51508000,0.0515,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,114.7
160426,Erken bojen 0-20,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,juvenil,1009426,1.7,3746679.1,0.0037,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,258
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,5,22480074.6,0.0225,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,516
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,6.7,19982288.6,0.02,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,344
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,1.7,10398361,0.0104,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp, hanne,3000209,3.3,64631133.9,0.0646,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,688
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,5,5648499.8,0.0056,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160426,Erken bojen 0-20,Arthropoda,Maxillopoda,Copepoda,Diacyclops bicuspidatus,, ,263784,3.3,135990575,0.136,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160426,Erken bojen 0-20,Rotifera,Monogononta,Flosculariacea,Conochilus,sp,,1013030,6.7,1153756.9,0.0012,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160426,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,10,970752.1,0.001,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160426,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,56.7,23281330,0.0233,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,94.7
160426,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,<120µm,1009427,15,4593534.2,0.0046,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,105.3
160426,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,71.7,42537982.7,0.0425,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,137.4
160426,Erken bojen 0-20,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,75,48802762.5,0.0488,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,107.5
160607,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Bosmina (Eubosmina) coregoni,,,233671,12,489066512.7,0.4891,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,172
160607,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,,1009426,2,183170978.5,0.1832,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,946
160607,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,juvenil,1009426,8,17984059.7,0.018,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,258
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,2,59946865.7,0.0599,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,52,30419155,0.0304,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,195
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,24,82324002.9,0.0823,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,344
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,38,5783588.3,0.0058,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,107.5
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus,spp, ,1011373,12,360919415.3,0.3609,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,989
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Thermocyclops oithonoides,, ,242098,2,28245381,0.0282,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,688
160607,Erken bojen 0-8,Arthropoda,Maxillopoda,Copepoda,Thermocyclops oithonoides ,,male,242098,2,17317983.4,0.0173,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160607,Erken bojen 0-8,Rotifera,Monogononta,Flosculariacea,Conochilus,sp,,1013030,348,51784665.6,0.0518,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,101.8
160607,Erken bojen 0-8,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,12,1164902.6,0.0012,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160607,Erken bojen 0-8,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,18,8141310,0.0081,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160607,Erken bojen 0-8,Rotifera,Monogononta,Ploima,Kellicottia longispina,,,233703,10,913198.2,0.0009,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,129
160613,Erken bojen 0-10,Arthropoda,Branchiopoda,Cladocera,Bosmina (Eubosmina) coregoni,,juvenil,233671,13.3,387235642.6,0.3872,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,146
160613,Erken bojen 0-10,Arthropoda,Branchiopoda,Cladocera,Ceriodaphnia quadrangula,,,263827,1.1,27198115,0.0272,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,516
160613,Erken bojen 0-10,Arthropoda,Branchiopoda,Cladocera,Ceriodaphnia quadrangula,,juvenil,263827,1.1,5180593.3,0.0052,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,301
160613,Erken bojen 0-10,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,juvenil,1009426,2.2,4995572.1,0.005,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,258
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,copepodit,3000208,10,299734328.5,0.2997,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,860
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Calanoida,sp,naupliuslarv,3000208,24.4,53776619.5,0.0538,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,309.5
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,copepodit,3000209,8.9,55457925.4,0.0555,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,559
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,sp,naupliuslarv,3000209,55,54045051.4,0.054,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,175
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Eudiaptomus,spp, ,1011373,2.2,79929154.3,0.0799,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1032
160613,Erken bojen 0-10,Arthropoda,Maxillopoda,Copepoda,Mesocyclops leuckarti ,, ,239249,2.2,34691473.2,0.0347,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,645
160613,Erken bojen 0-10,Rotifera,Monogononta,Flosculariacea,Conochilus,sp,,1013030,96.7,16729474.8,0.0167,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160613,Erken bojen 0-10,Rotifera,Monogononta,Ploima,Keratella cochlearis,,,233670,11.1,1078613.5,0.0011,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,103
160613,Erken bojen 0-10,Rotifera,Monogononta,Ploima,Polyarthra,spp,,1009465,11.1,5025500,0.005,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,95
160613,Erken bojen 0-10,Rotifera,Monogononta,Ploima,Synchaeta,spp,>120µm,1009427,1.1,737078.1,0.0007,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,146
160613,Erken bojen 0-10,Rotifera,Monogononta,Ploima,Kellicottia longispina,,,233703,12.2,1116131.1,0.0011,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,129
160613,Erken bojen 0-10,Rotifera,Monogononta,Ploima,Keratella quadrata,,,233764,2.2,1475662.2,0.0015,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,112
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Bosmina ,spp,,1009432,1.7,260394197.9,0.2604,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,215
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Bosmina ,spp,juvenil,1009432,1.7,8742251.2,0.0087,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,86
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Ceriodaphnia quadrangula,,,263827,1.7,40797172.5,0.0408,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,516
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Ceriodaphnia quadrangula,,juvenil,263827,3.3,31222325.9,0.0312,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,387
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Chydorus sphaericus,,,242094,3.3,29973432.9,0.03,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,258
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,,1009426,13.3,923625782.7,0.9236,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,1118
160621,Erken bojen 0-8,Arthropoda,Branchiopoda,Cladocera,Daphnia,sp,juvenil,1009426,25,917936381.1,0.9179,Naturvårdsverkets Djurplankton i sjöar 2003-05-27,Erkenlaboratory,774
